Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
01,Route de Pont-de-Vaux,Saint-Trivier-de-Courtes,01560,,,1.87 €,1.94 €,
01,AIRE DE MIONNAY EST CHATANAYAUTOROUTE A 46,MIONNAY,01390,2.03 €,,2.15 €,2.10 €,
01,Rue de l'industrie,Port,01460,1.83 €,0.85 €,1.97 €,1.96 €,
01,LES GRANGES DE MONTAGNIEU,Montagnieu,01470,null,null,null,null,
01,174 COURS DE VERDUN,OYONNAX,01100,1.91 €,0.84 €,2.02 €,2.01 €,
01,AIRE DE CEIGNES HAUT BUGEY,CEIGNES,01430,2.03 €,,2.15 €,2.13 €,
01,AVENUE PIERRE MARCAULT,Châtillon-sur-Chalaronne,01400,null,null,null,null,
01,261 Route de Paris,Viriat,01440,,,2.04 €,2.00 €,
01,1 Route du Bourg,Bâgé-la-Ville,01380,1.85 €,,,1.93 €,
01,RN 83,Miribel,01700,1.83 €,,1.95 €,1.92 €,
01,18  Rue du 21 Juillet 1944,DORTAN,01590,,,2.04 €,2.04 €,
01,AUTOROUTE A40 - AIRE DE CEIGNES CERDON,CEIGNES,01430,1.90 €,0.88 €,2.01 €,1.98 €,
01,AIRE DE BOURG TEYSONGUE A 40,Ceyzériat,01250,1.95 €,,2.07 €,2.08 €,
01,PARC D'ACTIVITE DES FOURS,Béon,01350,1.84 €,,2.00 €,1.95 €,
01,RD 1504,Torcieu,01230,,,,1.99 €,
01,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,01160,1.82 €,0.85 €,1.94 €,1.90 €,
01,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,01230,,,2.15 €,2.08 €,
01, Rue des Verchères,BRIORD,01470,1.80 €,,1.91 €,1.93 €,
01,zac de la tuilerie,VILLARS-LES-DOMBES,01330,1.81 €,,1.90 €,1.93 €,
01,Lieu-dit Logis-Neuf,Confrançon,01310,,,2.00 €,1.97 €,
01,AIRE DE MIONNAY OUEST,MIONNAY,01390,1.99 €,,2.11 €,2.06 €,
01,223 route de Bourg-en-Bresse,Replonges,01750,1.89 €,,,1.96 €,
01,550  Avenue Jean Mermoz,CHâTEAU-GAILLARD,01500,,,,2.05 €,
01,Le Pont Rompu - RD 1084,PONT-D'AIN,01160,1.93 €,0.98 €,1.88 €,1.95 €,
01,Rue du Figuier,MIRIBEL,01700,,,2.00 €,1.95 €,
